variant,target_shift,fold,n_train,n_test,dynamic_mse,angle_r2,angle_pearson,vigor_r2,vigor_pearson,bout_balanced_accuracy,bout_roc_auc
infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0,0,2527,632,4.434201062593665,0.023282429536702343,0.15661783602302162,0.009039955604245975,0.10450218587926428,0.5392891636082673,0.5634923700985126
infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0,1,2523,633,4.161570610284932,0.027494492372389767,0.1834782612208865,0.004752354054806451,0.07756614391252917,0.4964743996950832,0.5075848049803074
infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0,2,2524,632,1.6381833700358512,0.03443118401836409,0.19242146498994311,0.009279936350358842,0.1490424773843073,0.5747053751077895,0.5846363897671745
infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0,3,2523,633,2.2193907643934283,0.04323636717829882,0.21223348073609122,-0.006011895875593476,0.02076956010334185,0.5142238507661558,0.5030779480346436
infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0,4,2527,632,1.6436455938651922,0.029469403134992134,0.19592757188355775,-0.002752683801198863,0.039798876502884134,0.5065750149432158,0.5019154485681682
infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0,0,2527,632,3.760723516020072,0.023923756115790895,0.15844137396765137,0.008987715447829059,0.10385773692447693,0.5322258708389672,0.5626167020797115
infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0,1,2523,633,3.608035240397038,0.028022300018050394,0.1845962901490186,0.0043461505950235235,0.07622246262193022,0.4975543133019947,0.5080040655571083
infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0,2,2524,632,1.3567813799858428,0.03410512541498156,0.19134996343437916,0.00940284624257759,0.14902198064601693,0.5747053751077895,0.5851681517677494
infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0,3,2523,633,1.85684010939475,0.04299447289938041,0.21132741871585167,-0.005349942186038126,0.024049389393939916,0.5142238507661558,0.5057828114590273
infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0,4,2527,632,1.3382815713139096,0.028495818959525687,0.19530003119824926,-0.0025014967793051124,0.04079385685392199,0.5121311742650655,0.5040346682606097
infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0,0,2527,632,3.379504563807039,0.024079449352508275,0.15939202105854214,0.00835839038205144,0.1027962372611447,0.5194063485931363,0.5621144807159875
infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0,1,2523,633,3.322098735263572,0.027839299572673615,0.1845270600560577,0.004229503259193357,0.07570320981054365,0.49725574895184854,0.508245458010418
infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0,2,2524,632,1.1577018956263099,0.03435806711562661,0.19217882951301982,0.009582249487584238,0.15040056104972033,0.5767461914343202,0.5855993101465938
infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0,3,2523,633,1.634367070632995,0.043909884084714745,0.213945444650568,-0.005140501356446059,0.024796441406587547,0.5163291139240507,0.5063157894736843
infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0,4,2527,632,1.1666618735750578,0.027525623404890065,0.1941869095475345,-0.0025461011101404196,0.03962461890271209,0.5089930989512579,0.5050671086235939
